* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (2- OmniMic                  ), MICROPHONE (Master Volume), L, volume: 0,520
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: Jul 14, 2023 2:58:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: DeltaSE 50 -12 - yeni
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
94.482428	66.405	44.3774
94.848639	66.706	33.9789
95.214850	67.052	24.0988
95.581061	67.437	14.7585
95.947272	67.853	5.9680
96.313483	68.294	-2.2749
96.679694	68.754	-9.9824
97.045905	69.227	-17.1753
97.412116	69.709	-23.8817
97.778327	70.196	-30.1356
98.144538	70.684	-35.9756
98.510749	71.170	-41.4432
98.876960	71.652	-46.5826
99.243170	72.128	-51.4390
99.609381	72.596	-56.0575
99.975592	73.054	-60.4833
100.341803	73.502	-64.7604
100.708014	73.939	-68.9308
101.074225	74.363	-73.0342
101.440436	74.773	-77.1078
101.806647	75.169	-81.1853
102.172858	75.550	-85.2975
102.539069	75.915	-89.4711
102.905280	76.265	-93.7294
103.271491	76.597	-98.0920
103.637702	76.913	-102.5753
104.003913	77.211	-107.1919
104.370124	77.492	-111.9518
104.736335	77.755	-116.8619
105.102546	78.000	-121.9269
105.468757	78.227	-127.1494
105.834968	78.435	-132.5303
106.201179	78.626	-138.0686
106.567390	78.799	-143.7628
106.933601	78.953	-149.6105
107.299812	79.090	-155.6082
107.666023	79.209	-161.7527
108.032234	79.310	-168.0405
108.398445	79.394	-174.4681
108.764656	79.462	178.9674
109.130867	79.513	172.2692
109.497078	79.549	165.4396
109.863289	79.569	158.4803
110.229500	79.575	151.3931
110.595710	79.566	144.1786
110.961921	79.544	136.8374
111.328132	79.510	129.3699
111.694343	79.465	121.7760
112.060554	79.408	114.0558
112.426765	79.343	106.2096
112.792976	79.268	98.2378
113.159187	79.186	90.1417
113.525398	79.097	81.9233
113.891609	79.003	73.5857
114.257820	78.905	65.1331
114.624031	78.804	56.5709
114.990242	78.701	47.9066
115.356453	78.597	39.1487
115.722664	78.494	30.3077
116.088875	78.393	21.3955
116.455086	78.294	12.4257
116.821297	78.200	3.4130
117.187508	78.112	-5.6263
117.553719	78.029	-14.6755
117.919930	77.954	-23.7168
118.286141	77.887	-32.7324
118.652352	77.828	-41.7043
119.018563	77.779	-50.6150
119.384774	77.740	-59.4481
119.750985	77.710	-68.1876
120.117196	77.690	-76.8190
120.483407	77.681	-85.3300
120.849618	77.681	-93.7092
121.215829	77.690	-101.9476
121.582040	77.708	-110.0382
121.948250	77.733	-117.9762
122.314461	77.766	-125.7583
122.680672	77.805	-133.3833
123.046883	77.849	-140.8527
123.413094	77.898	-148.1681
123.779305	77.949	-155.3339
124.145516	78.002	-162.3553
124.511727	78.056	-169.2386
124.877938	78.110	-175.9910
125.244149	78.162	177.3798
125.610360	78.212	170.8652
125.976571	78.259	164.4572
126.342782	78.301	158.1462
126.708993	78.339	151.9242
127.075204	78.371	145.7823
127.441415	78.396	139.7119
127.807626	78.414	133.7052
128.173837	78.425	127.7539
128.540048	78.428	121.8508
128.906259	78.423	115.9883
129.272470	78.409	110.1595
129.638681	78.387	104.3578
130.004892	78.355	98.5764
130.371103	78.316	92.8091
130.737314	78.267	87.0496
131.103525	78.210	81.2920
131.469736	78.145	75.5302
131.835947	78.071	69.7582
132.202158	77.990	63.9703
132.568369	77.902	58.1606
132.934579	77.807	52.3234
133.300790	77.706	46.4528
133.667001	77.600	40.5435
134.033212	77.489	34.5898
134.399423	77.374	28.5869
134.765634	77.257	22.5295
135.131845	77.138	16.4135
135.498056	77.019	10.2344
135.864267	76.900	3.9891
136.230478	76.783	-2.3253
136.596689	76.669	-8.7108
136.962900	76.560	-15.1686
137.329111	76.457	-21.6986
137.695322	76.361	-28.2999
138.061533	76.273	-34.9706
138.427744	76.196	-41.7074
138.793955	76.130	-48.5057
139.160166	76.075	-55.3602
139.526377	76.034	-62.2640
139.892588	76.006	-69.2095
140.258799	75.993	-76.1880
140.625010	75.995	-83.1902
140.991221	76.011	-90.2061
141.357432	76.042	-97.2249
141.723643	76.088	-104.2363
142.089854	76.148	-111.2292
142.456065	76.222	-118.1936
142.822276	76.308	-125.1189
143.188487	76.407	-131.9956
143.554698	76.517	-138.8147
143.920909	76.638	-145.5684
144.287119	76.768	-152.2490
144.653330	76.907	-158.8513
145.019541	77.053	-165.3701
145.385752	77.207	-171.8018
145.751963	77.366	-178.1440
146.118174	77.531	175.6040
146.484385	77.700	169.4431
146.850596	77.872	163.3716
147.216807	78.047	157.3872
147.583018	78.225	151.4868
147.949229	78.404	145.6663
148.315440	78.584	139.9209
148.681651	78.764	134.2446
149.047862	78.943	128.6318
149.414073	79.123	123.0757
149.780284	79.300	117.5693
150.146495	79.477	112.1055
150.512706	79.650	106.6768
150.878917	79.822	101.2761
151.245128	79.990	95.8960
151.611339	80.156	90.5298
151.977550	80.317	85.1709
152.343761	80.475	79.8125
152.709972	80.628	74.4492
153.076183	80.777	69.0752
153.442394	80.921	63.6858
153.808605	81.060	58.2771
154.174816	81.194	52.8450
154.541027	81.323	47.3867
154.907238	81.446	41.9004
155.273448	81.564	36.3838
155.639659	81.676	30.8367
156.005870	81.783	25.2588
156.372081	81.884	19.6501
156.738292	81.979	14.0125
157.104503	82.069	8.3472
157.470714	82.153	2.6565
157.836925	82.232	-3.0566
158.203136	82.306	-8.7888
158.569347	82.375	-14.5361
158.935558	82.439	-20.2949
159.301769	82.499	-26.0605
159.667980	82.555	-31.8284
160.034191	82.606	-37.5935
160.400402	82.654	-43.3511
160.766613	82.699	-49.0962
161.132824	82.741	-54.8237
161.499035	82.781	-60.5291
161.865246	82.819	-66.2070
162.231457	82.855	-71.8535
162.597668	82.890	-77.4641
162.963879	82.924	-83.0342
163.330090	82.958	-88.5605
163.696301	82.991	-94.0393
164.062512	83.025	-99.4675
164.428723	83.058	-104.8420
164.794934	83.093	-110.1602
165.161145	83.129	-115.4197
165.527356	83.165	-120.6187
165.893567	83.203	-125.7551
166.259778	83.241	-130.8276
166.625988	83.281	-135.8347
166.992199	83.323	-140.7751
167.358410	83.365	-145.6479
167.724621	83.408	-150.4521
168.090832	83.453	-155.1870
168.457043	83.498	-159.8516
168.823254	83.544	-164.4451
169.189465	83.591	-168.9668
169.555676	83.638	-173.4165
169.921887	83.685	-177.7930
170.288098	83.733	177.9038
170.654309	83.780	173.6748
171.020520	83.828	169.5205
171.386731	83.876	165.4409
171.752942	83.923	161.4365
172.119153	83.971	157.5078
172.485364	84.018	153.6545
172.851575	84.065	149.8770
173.217786	84.112	146.1746
173.583997	84.159	142.5469
173.950208	84.206	138.9937
174.316419	84.253	135.5137
174.682630	84.300	132.1057
175.048841	84.348	128.7688
175.415052	84.396	125.5012
175.781263	84.444	122.3013
176.147474	84.493	119.1665
176.513685	84.543	116.0950
176.879896	84.593	113.0842
177.246107	84.643	110.1311
177.612318	84.694	107.2332
177.978528	84.746	104.3872
178.344739	84.798	101.5903
178.710950	84.850	98.8391
179.077161	84.903	96.1306
179.443372	84.956	93.4614
179.809583	85.009	90.8284
180.175794	85.061	88.2290
180.542005	85.113	85.6597
180.908216	85.165	83.1179
181.274427	85.215	80.6016
181.640638	85.265	78.1077
182.006849	85.313	75.6343
182.373060	85.359	73.1794
182.739271	85.404	70.7419
